"name","mf","idx","formula","mw","qindx","dri","tol","mfp","modmf","ri","rt"
"2,4,6,8,10,12,14,16-Octamethyl-1,16-heptadecadiene (isomer)",900.966255695846,10,"C25H48","348",220,67.9000000000001,20.785,113.338946355545,787.627309340301,2078.5,11.7824
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",848.113175432192,143,"C25H48","348",221,72.9000000000001,20.904,124.368541905856,723.744633526337,2090.4,11.8377
"1,20-Heneicosadiene",910.847630825349,31,"C21H40","292",222,32.2000000000003,21.173,26.0402399282111,884.807390897138,2117.3,11.9596
"1,21-Docosadiene",907.605036654427,29,"C22H42","306",222,68.0999999999999,21.173,110.818022953762,796.787013700666,2117.3,11.9596
"1-Heneicosene",953.18991219787,30,"C21H42","294",223,34.9000000000001,21.264,32.0635816403313,921.126330557539,2126.4,12.0003
"1-Docosene",948.508548749711,28,"C22H44","308",223,65.1999999999998,21.264,103.310759969902,845.19778877981,2126.4,12.0003
"Heneicosane",905.529917410794,23,"C21H44","296",224,35.8000000000002,21.358,33.8093454443304,871.720571966463,2135.8,12.0423
"Docosane",917.579461591584,27,"C22H46","310",224,64.1999999999998,21.358,100.294971439273,817.284490152311,2135.8,12.0423
"1-Docosene",738.221487416856,28,"C22H44","308",225,29.4000000000001,21.622,17.986310239571,720.235177177285,2162.2,12.1603
"2,4,6,8,10,12-Hexaethyl-1-hexadecene",810.40210677441,142,"C28H56","392",226,15.2999999999997,22.004,0,810.40210677441,2200.4,12.3309
"2,4,6,8,10,12-Hexaethyl-1-hexadecene",824.672746537468,142,"C28H56","392",227,14.0999999999999,22.016,0,824.672746537468,2201.6,12.3362
"2,4,6,8,10,12,14,16,18-Nonamethyl-1,18-nonadecadiene (isomer)",801.988023348563,9,"C28H54","390",227,21.0999999999999,22.016,0,801.988023348563,2201.6,12.3362
"2,4,6,8,10,12,14,16,18-Nonamethyl-1,18-nonadecadiene (isomer)",748.433028418469,9,"C28H54","390",228,19.7999999999997,22.029,0,748.433028418469,2202.9,12.3416
"2,4,6,8,10,12-Hexaethyl-1-hexadecene",783.583662304674,142,"C28H56","392",229,2.89999999999964,22.128,0,783.583662304674,2212.8,12.3842
"1-Docosene",717.17774910077,28,"C22H44","308",229,21.2000000000003,22.128,0,717.17774910077,2212.8,12.3842
"2,4,6,8,10,12,14,16,18-Nonamethyl-1,18-nonadecadiene (isomer)",821.813844831863,9,"C28H54","390",230,0.200000000000273,22.229,0,821.813844831863,2222.9,12.4275
